Rhizobium phaseoli
Bacillus clausii
Tolumonas auensis
Mycoplasma yeatsii
Bacillus gibsonii
Actinomadura formosensis
Vibrio gigantis
Fulvimarina pelagi
Dickeya chrysanthemi
Symbiobacterium thermophilum
Bryocella elongata
Arthrobacter subterraneus
Pseudorhodoferax soli
Staphylococcus delphini
Edaphobacter aggregans
Micromonospora humi
Pseudomonas psychrotolerans
Derxia gummosa
Actinomycetospora chiangmaiensis
Bacillus krulwichiae
Alkalibacter saccharofermentans
Anoxybacillus kamchatkensis
Actinomyces nasicola
Streptococcus agalactiae
Staphylococcus carnosus
Actinoplanes missouriensis
Marinovum algicola
Actinomyces marimammalium
Streptomyces yeochonensis
Pseudobutyrivibrio ruminis
Mycobacterium tuberculosis
Ectothiorhodosinus mongolicus
Streptococcus massiliensis
Lutispora thermophila
Cohaesibacter gelatinilyticus
Thermoanaerobacterium saccharolyticum
Ochrobactrum oryzae
Spiroplasma litorale
Kaistia adipata
Collinsella tanakaei
Azospirillum brasilense
Paenibacillus elgii
Roseomonas mucosa
Streptococcus uberis
Dolosicoccus paucivorans
Yersinia massiliensis
Alkalibacterium subtropicum
Acidisphaera rubrifaciens
Castellaniella caeni
Tetragenococcus halophilus
Desulfovibrio bizertensis
Bacillus cohnii
Xenorhabdus stockiae
Melittangium boletus
Curvibacter delicatus
Enterovibrio calviensis
Enterococcus aquimarinus
Microbacterium kitamiense
Azotobacter vinelandii
Paenibacillus mucilaginosus
Sphingobium ummariense
Thioalkalivibrio nitratireducens
Rothia dentocariosa
Avibacterium endocarditidis
Erwinia billingiae
Bacillus atrophaeus
Fluoribacter gormanii
Nitrobacter winogradskyi
Pseudomonas indica
Moraxella lacunata
Anaerotruncus colihominis
Staphylococcus devriesei
Microbacterium hydrocarbonoxydans
Xanthomonas bromi
Microvirga subterranea
Bacillus mannanilyticus
Sulfurospirillum multivorans
Bacillus thuringiensis
Enterococcus cecorum
Thermaerobacter subterraneus
Pseudomonas caricapapayae
Chryseobacterium hungaricum
Roseivivax halotolerans
Micromonospora nigra
Maribacter dokdonensis
Geobacillus thermodenitrificans
Spiroplasma diminutum
Bacillus fumarioli
Pseudonocardia spinosispora
Garciella nitratireducens
Nocardia niigatensis
Streptoalloteichus hindustanus
Streptomyces globosus
Planococcus halocryophilus
Lactobacillus plantarum
Candidimonas nitroreducens
Clostridium cylindrosporum
Finegoldia magna
Halomonas campaniensis
Lactobacillus rennini
Serratia liquefaciens
Syntrophaceticus schinkii
Desulfurobacterium atlanticum
Thermanaeromonas toyohensis
Rhodobacter sphaeroides
Vagococcus lutrae
Eggerthella sinensis
Actinobacillus seminis
Streptomyces misionensis
Sediminibacillus albus
Terrimonas ferruginea
Sphaerochaeta globosa
Pseudomonas panipatensis
Methylobacterium extorquens
Chryseobacterium antarcticum
Ancylobacter rudongensis
Streptomyces corchorusii
Bacteroides salanitronis
Nocardia jiangxiensis
Pseudomonas benzenivorans
Ignatzschineria indica
Mycobacterium chelonae
Bacteroides faecis
Dietzia maris
Pantoea dispersa
Idiomarina salinarum
Aeromonas taiwanensis
Cytophaga hutchinsonii
Carnobacterium pleistocenium
Streptococcus gallolyticus
Oligotropha carboxidovorans
Chlorobium limicola
Chlorobium tepidum
Herbaspirillum chlorophenolicum
Prevotella melaninogenica
Salinicoccus carnicancri
Bacillus mojavensis
Fusobacterium mortiferum
Pantoea vagans
Tissierella creatinophila
Campylobacter hyointestinalis
Pasteurella dagmatis
Lactobacillus amylolyticus
Oceanospirillum maris
Actinomyces cardiffensis
Pseudomonas fuscovaginae
Streptomyces vitaminophilus
Paracoccus pantotrophus
Aureimonas altamirensis
Cupriavidus necator
Prevotella bergensis
Paenibacillus apiarius
Porphyromonas somerae
Ekhidna lutea
Bacillus horikoshii
Roseburia intestinalis
Bacillus panaciterrae
Kribbella catacumbae
Anaerococcus lactolyticus
Desulfosporosinus orientis
Aneurinibacillus migulanus
Chryseobacterium piperi
Rhodospirillum centenum
Brevibacterium aurantiacum
Lentibacillus halodurans
Lactobacillus gasseri
Shewanella frigidimarina
Mycobacterium saskatchewanense
Halomonas denitrificans
Haemophilus parasuis
Acinetobacter calcoaceticus
Nocardia araoensis
Kineococcus xinjiangensis
Ruminobacter amylophilus
Pedobacter steynii
Paenibacillus assamensis
Actinosynnema mirum
Hyalangium minutum
Microbacterium esteraromaticum
Staphylococcus felis
Pseudomonas vranovensis
Chthonomonas calidirosea
Vibrio proteolyticus
Sphingobacterium thalpophilum
Clostridium kluyveri
Micromonospora rifamycinica
Lactobacillus concavus
Lactobacillus salivarius
Sphingomonas rubra
Kordia periserrulae
Thermosipho atlanticus
Lactobacillus fructivorans
Aerococcus urinaehominis
Eubacterium cylindroides
Pseudomonas simiae
Desulfitibacter alkalitolerans
Geobacillus uzenensis
Streptomyces aurantiacus
Bacillus coagulans
Vibrio tapetis
Campylobacter insulaenigrae
Aeromicrobium marinum
Desulfurella multipotens
Shewanella colwelliana
Zavarzinia compransoris
Comamonas testosteroni
Rhodococcus marinonascens
Blautia producta
Sphingobacterium lactis
Colwellia aestuarii
Enterococcus phoeniculicola
Lactobacillus paucivorans
Xanthomonas euvesicatoria
Lysobacter capsici
Nonomuraea coxensis
Campylobacter upsaliensis
Porphyromonas gulae
Flavobacterium terrigena
Yersinia pseudotuberculosis
Rahnella aquatilis
Staphylococcus schleiferi
Enterococcus caccae
Streptacidiphilus oryzae
Labedella gwakjiensis
Streptomyces globisporus
Afipia clevelandensis
Paracoccus homiensis
Actinoplanes utahensis
Streptomyces fradiae
Clostridium uliginosum
Desulfurivibrio alkaliphilus
Pseudomonas synxantha
Collimonas pratensis
Carboxydothermus islandicus
Streptomyces caeruleatus
Chryseobacterium soldanellicola
Neisseria wadsworthii
Hwanghaeicola aestuarii
Desulfovibrio salexigens
Bartonella henselae
Halomonas desiderata
Mycobacterium fortuitum
Kluyvera cryocrescens
Listeria innocua
Aurantimonas manganoxydans
Pseudomonas lutea
Streptomyces purpureus
Flavobacterium fryxellicola
Buttiauxella noackiae
Nitratifractor salsuginis
Morganella morganii
Aeromonas hydrophila
Streptomyces europaeiscabiei
Marinococcus halotolerans
Enterococcus saccharolyticus
Ruegeria marina
Hydrogenophaga flava
Gemella haemolysans
Xanthomonas translucens
Marinobacter adhaerens
Hippea jasoniae
Xenorhabdus kozodoii
Thermoanaerobacterium thermosaccharolyticum
Sporolactobacillus nakayamae
Rhodopseudomonas palustris
Pseudomonas tremae
Geobacillus vulcani
Gordonia paraffinivorans
Syntrophothermus lipocalidus
Brevundimonas bacteroides
Bacillus pseudomycoides
Sphingomonas sanxanigenens
Sphingopyxis witflariensis
Pseudomonas orientalis
Gordonia rubripertincta
Rhodovibrio salinarum
Photobacterium leiognathi
Hyphomicrobium sulfonivorans
Gordonia lacunae
Planococcus antarcticus
Chromobacterium piscinae
Bacillus pumilus
Pseudomonas luteola
Halomonas ventosae
Chryseobacterium wanjuense
Staphylococcus intermedius
Curtobacterium luteum
Weissella minor
Clostridium sporogenes
Lysinibacillus macroides
Gordonia desulfuricans
Pseudonocardia oroxyli
Pediococcus claussenii
Staphylococcus auricularis
Bacillus firmus
Corynebacterium matruchotii
Desulfobacter postgatei
Marivirga sericea
Spirochaeta africana
Desulfomonile tiedjei
Haemophilus sputorum
Ruminococcus champanellensis
Nocardia otitidiscaviarum
Alicycliphilus denitrificans
Alistipes onderdonkii
Thauera aromatica
Bacillus anthracis
Bacillus okuhidensis
Enterobacter cloacae
Salimicrobium flavidum
Anoxybacillus mongoliensis
Herbiconiux solani
Methylococcus capsulatus
Streptococcus canis
Fusobacterium naviforme
Bacillus bataviensis
Cupriavidus oxalaticus
Lactobacillus animalis
Enterobacter mori
Streptomyces halstedii
Desulfonauticus submarinus
Cupriavidus basilensis
Saccharomonospora glauca
Desulfonatronum thiosulfatophilum
Streptomyces bikiniensis
Chryseobacterium ureilyticum
Pedobacter caeni
Lactobacillus panis
Actinomadura rifamycini
Pseudomonas mucidolens
Bacillus chagannorensis
Clostridium thermobutyricum
Actinoplanes regularis
Bacillus halmapalus
Eubacterium brachy
Streptomyces phaeochromogenes
Paenibacillus pabuli
Rhodococcus koreensis
Flavobacterium saccharophilum
Vibrio sinaloensis
Moraxella equi
Levilinea saccharolytica
Methylotenera mobilis
Demequina salsinemoris
Saccharomonospora halophila
Campylobacter jejuni
Promicromonospora sukumoe
Thermithiobacillus tepidarius
Janibacter corallicola
Syntrophomonas palmitatica
Leifsonia xyli
Hydrogenophaga taeniospiralis
Kocuria marina
Runella limosa
Actinoplanes globisporus
Leclercia adecarboxylata
Desulfovibrio longus
Dendrosporobacter quercicolus
Campylobacter curvus
Intrasporangium chromatireducens
Carboxydocella sporoproducens
Petrotoga mexicana
Mycoplasma dispar
Providencia rustigianii
Dinoroseobacter shibae
Lechevalieria fradiae
Corynebacterium vitaeruminis
Stenoxybacter acetivorans
Paenibacillus larvae
Lactobacillus antri
Ochrobactrum pituitosum
Methylosarcina fibrata
Clostridium cavendishii
Pseudomonas rhizosphaerae
Streptococcus henryi
Mobiluncus curtisii
Insolitispirillum peregrinum
Phyllobacterium myrsinacearum
Knoellia aerolata
Photobacterium lutimaris
Thalassobaculum litoreum
Lampropedia hyalina
Limnohabitans curvus
Desulfotomaculum putei
Sinosporangium album
Psychromonas arctica
Methylomonas methanica
Corynebacterium halotolerans
Niabella soli
Methylocapsa acidiphila
Lactobacillus reuteri
Kosmotoga arenicorallina
Micromonospora yangpuensis
Sphingobium indicum
Bifidobacterium breve
Caldicellulosiruptor bescii
Nocardioides terrigena
Enterorhabdus caecimuris
Serratia ureilytica
Herbiconiux ginsengi
Propionibacterium freudenreichii
Vibrio chagasii
Pseudoxanthomonas dokdonensis
Haemophilus haemoglobinophilus
Rathayibacter caricis
Prevotella timonensis
Spiroplasma floricola
Prosthecobacter debontii
Desulfonatronum thioautotrophicum
Deinococcus aerius
Ahrensia kielensis
Bordetella bronchiseptica
Gordonibacter pamelaeae
Lactonifactor longoviformis
Citrobacter werkmanii
Desulfuromonas acetoxidans
Brevibacterium casei
Micromonospora krabiensis
Streptococcus didelphis
Alicyclobacillus shizuokensis
Ruminococcus gauvreauii
Arenimonas donghaensis
Chryseobacterium piscicola
Phenylobacterium zucineum
Amphibacillus jilinensis
Achromobacter xylosoxidans
Rudanella lutea
Micromonospora inositola
Chitinophaga eiseniae
Helicobacter suis
Legionella spiritensis
Spiroplasma kunkelii
Prevotella dentasini
Desulfovibrio piger
Nocardia acidivorans
Bartonella bacilliformis
Spiroplasma syrphidicola
Lactobacillus psittaci
Vibrio fortis
Yuhushiella deserti
Parabacteroides goldsteinii
Francisella halioticida
Rhodonellum psychrophilum
Nocardia carnea
Desulfovibrio aminophilus
Rhodococcus aetherivorans
Methylosinus trichosporium
Albimonas donghaensis
Corynebacterium phocae
Dysgonomonas mossii
Rhodoblastus sphagnicola
Clostridium senegalense
Geobacter bemidjiensis
Loktanella salsilacus
Chryseobacterium caeni
Streptomyces atroolivaceus
Rhodobacter aestuarii
Acetobacterium woodii
Acaricomes phytoseiuli
Taylorella equigenitalis
Rhodobacter johrii
Fluoribacter bozemanae
Mycobacterium mageritense
Halomonas elongata
Bacillus kribbensis
Anaerococcus prevotii
Leeuwenhoekiella marinoflava
Pseudonocardia acaciae
Haloactinobacterium album
Acinetobacter bouvetii
Syntrophorhabdus aromaticivorans
Propionicimonas paludicola
Methylibium petroleiphilum
Kangiella aquimarina
Chryseobacterium scophthalmum
Idiomarina sediminum
Pararhodobacter aggregans
Burkholderia latens
Lysinimicrobium mangrovi
Prevotella albensis
Streptococcus australis
Bacillus farraginis
Pseudomonas mandelii
Streptomyces glaucescens
Carboxydothermus pertinax
Anaerococcus hydrogenalis
Kocuria salsicia
Desulfovibrio profundus
Trichococcus patagoniensis
Lactobacillus paracollinoides
Streptomyces vietnamensis
Streptomyces brasiliensis
Kushneria avicenniae
Shigella sonnei
Exiguobacterium mexicanum
Comamonas kerstersii
Bacteroides thetaiotaomicron
Micromonospora echinospora
Comamonas thiooxydans
Bifidobacterium bifidum
Serratia quinivorans
Gramella echinicola
Pseudomonas extremaustralis
Streptomyces avellaneus
Pontibacillus halophilus
Hoeflea marina
Turicella otitidis
Methyloversatilis universalis
Bacteroides paurosaccharolyticus
Deinococcus misasensis
Nitrosomonas europaea
Arthrobacter psychrolactophilus
Olleya aquimaris
Amycolatopsis kentuckyensis
Mesorhizobium ciceri
Streptomyces violaceoruber
Flavobacterium degerlachei
Enterovibrio nigricans
Vibrio hepatarius
Burkholderia contaminans
Pseudoxanthomonas suwonensis
Paenibacillus zanthoxyli
Wenxinia marina
Burkholderia pseudomallei
Nitratiruptor tergarcus
Parapedobacter luteus
Streptomonospora alba
Kangiella koreensis
Aliivibrio logei
Asaccharobacter celatus
Streptomyces katrae
Paenibacillus massiliensis
Legionella israelensis
Kandleria vitulina
Trueperella bernardiae
Pseudogulbenkiania subflava
Bacteroides fragilis
Actinomyces hordeovulneris
Ochrobactrum anthropi
Bordetella pertussis
Mycobacterium interjectum
Pseudomonas guineae
Gracilimonas tropica
Vibrio mimicus
Pseudomonas thermotolerans
Neisseria polysaccharea
Mesonia phycicola
Thermodesulfobacterium hydrogeniphilum
Pseudomonas protegens
Enterococcus ureasiticus
Gulbenkiania indica
Nocardiopsis prasina
Hyphomonas oceanitis
Anoxybacillus tepidamans
Clostridium magnum
Gracilibacillus boraciitolerans
Nesterenkonia sandarakina
Desulfonispora thiosulfatigenes
Capnocytophaga leadbetteri
Flavobacterium soli
Salinimonas chungwhensis
Amycolatopsis lexingtonensis
Dichelobacter nodosus
Virgibacillus soli
Succinivibrio dextrinosolvens
Staphylococcus saccharolyticus
Streptomyces silaceus
Rhodobaca barguzinensis
Desulfotomaculum acetoxidans
